"","","nuser","sess","AppAdvertisedID","CampaignID","CampaignTargetTypeID","CampaignCostTypeID","disp","clic","inst","lead","CTR","CVR"
"1",25,0,0,2082,2033,2,7,1607,85,0,0,0.0528,0
"2",25,0,0,2082,2083,2,7,659,0,0,0,0,0
"3",25,0,0,2082,2084,2,7,888,502,0,0,0.5653,0
"4",25,0,0,2082,2085,2,7,446,172,0,0,0.3856,0
"5",25,0,0,2082,2086,2,7,367,80,0,0,0.2179,0
"6",25,0,0,2082,2087,2,7,38,2,0,0,0.0526,0
"7",25,0,0,2082,2091,2,7,1235,25,0,0,0.0202,0
"8",25,0,0,2082,2093,2,7,327,8,0,0,0.0244,0
"9",25,0,0,2082,2094,2,7,183,2,0,0,0.0109,0
"10",25,0,0,2082,2095,2,7,269,4,0,0,0.0148,0
"11",25,0,0,2082,2097,2,7,407,57,0,0,0.14,0
"12",25,0,0,2082,2098,2,7,226,1,0,0,0.0044,0
"13",25,0,0,2082,2112,2,7,87,15,0,0,0.1724,0
"14",25,0,0,2082,2113,2,7,228,14,0,0,0.0614,0
"15",25,0,0,2082,2114,2,7,1254,20,0,0,0.0159,0
"16",25,0,0,2082,2129,2,7,1570,97,0,0,0.0617,0
"17",25,0,0,2082,2145,2,7,7,0,0,0,0,0
"18",25,0,0,2230,2249,1,3,967,69,0,0,0.0713,0
"19",25,0,0,2229,2258,1,3,706,38,0,0,0.0538,0
"20",25,0,0,2229,2260,2,3,422,19,0,0,0.045,0
"21",25,0,0,2229,2385,1,3,14,0,0,0,0,0
"22",25,0,0,2229,2388,1,3,220,7,0,0,0.0318,0
"23",25,0,0,2324,2427,2,3,533,20,0,0,0.0375,0
"24",25,0,0,2324,2428,2,3,135,9,0,0,0.0666,0
"25",25,0,0,2324,2433,2,3,448,19,0,0,0.0424,0
"26",25,0,0,2324,2434,2,3,210,7,0,0,0.0333,0
"27",25,0,0,2324,2435,2,3,41,1,0,0,0.0243,0
"28",25,0,0,2324,2436,2,3,10,1,0,0,0.1,0
"29",25,0,0,2324,2437,2,3,38,2,0,0,0.0526,0
"30",25,0,0,2324,2439,2,3,156,15,0,0,0.0961,0
"31",25,0,0,2241,2448,1,2,952,81,0,0,0.085,0
"32",25,0,0,2324,2452,2,3,410,15,0,0,0.0365,0
"33",26,0,0,2082,2033,2,7,6015,271,0,0,0.045,0
"34",26,0,0,2082,2083,2,7,2695,30,0,0,0.0111,0
"35",26,0,0,2082,2084,2,7,2441,1570,0,0,0.6431,0
"36",26,0,0,2082,2085,2,7,1371,185,0,0,0.1349,0
"37",26,0,0,2082,2086,2,7,1100,168,0,0,0.1527,0
"38",26,0,0,2082,2087,2,7,236,20,0,0,0.0847,0
"39",26,0,0,2082,2091,2,7,3722,206,0,0,0.0553,0
"40",26,0,0,2082,2093,2,7,2791,109,0,0,0.039,0
"41",26,0,0,2082,2094,2,7,530,36,0,0,0.0679,0
"42",26,0,0,2082,2095,2,7,869,44,0,0,0.0506,0
"43",26,0,0,2082,2097,2,7,1005,193,0,0,0.192,0
"44",26,0,0,2082,2098,2,7,756,14,0,0,0.0185,0
"45",26,0,0,2082,2112,2,7,297,50,0,0,0.1683,0
"46",26,0,0,2082,2113,2,7,1141,96,0,0,0.0841,0
"47",26,0,0,2082,2114,2,7,5345,337,0,0,0.063,0
"48",26,0,0,2082,2129,2,7,7518,473,0,0,0.0629,0
"49",26,0,0,2082,2145,2,7,203,3,0,0,0.0147,0
"50",26,0,0,2230,2249,1,3,2694,167,0,0,0.0619,0
"51",26,0,0,2229,2258,1,3,3547,176,0,0,0.0496,0
"52",26,0,0,2229,2260,2,3,1925,119,0,0,0.0618,0
"53",26,0,0,2229,2385,1,3,89,1,0,0,0.0112,0
"54",26,0,0,2229,2388,1,3,1040,36,0,0,0.0346,0
"55",26,0,0,2324,2427,2,3,2222,106,0,0,0.0477,0
"56",26,0,0,2324,2428,2,3,405,10,0,0,0.0246,0
"57",26,0,0,2324,2433,2,3,2806,126,0,0,0.0449,0
"58",26,0,0,2324,2434,2,3,722,17,0,0,0.0235,0
"59",26,0,0,2324,2435,2,3,386,9,0,0,0.0233,0
"60",26,0,0,2324,2436,2,3,176,3,0,0,0.017,0
"61",26,0,0,2324,2437,2,3,61,2,0,0,0.0327,0
"62",26,0,0,2324,2439,2,3,548,48,0,0,0.0875,0
"63",26,0,0,2241,2448,1,2,3769,315,0,0,0.0835,0
"64",26,0,0,2324,2452,2,3,4508,135,0,0,0.0299,0
"65",27,0,0,2082,2033,2,7,5881,76,0,0,0.0129,0
"66",27,0,0,2082,2083,2,7,2728,47,0,0,0.0172,0
"67",27,0,0,2082,2084,2,7,2719,1682,0,0,0.6186,0
"68",27,0,0,2082,2085,2,7,1198,99,0,0,0.0826,0
"69",27,0,0,2082,2086,2,7,1249,262,0,0,0.2097,0
"70",27,0,0,2082,2087,2,7,266,7,0,0,0.0263,0
"71",27,0,0,2082,2091,2,7,4257,202,0,0,0.0474,0
"72",27,0,0,2082,2093,2,7,2709,37,0,0,0.0136,0
"73",27,0,0,2082,2094,2,7,1073,42,0,0,0.0391,0
"74",27,0,0,2082,2095,2,7,891,46,0,0,0.0516,0
"75",27,0,0,2082,2097,2,7,1396,137,0,0,0.0981,0
"76",27,0,0,2082,2098,2,7,822,37,0,0,0.045,0
"77",27,0,0,2082,2112,2,7,318,53,0,0,0.1666,0
"78",27,0,0,2082,2113,2,7,1186,141,0,0,0.1188,0
"79",27,0,0,2082,2114,2,7,5506,448,0,0,0.0813,0
"80",27,0,0,2082,2129,2,7,7634,466,0,0,0.061,0
"81",27,0,0,2082,2145,2,7,175,3,0,0,0.0171,0
"82",27,0,0,2230,2249,1,3,2810,176,0,0,0.0626,0
"83",27,0,0,2229,2258,1,3,3739,167,0,0,0.0446,0
"84",27,0,0,2229,2260,2,3,2396,125,0,0,0.0521,0
"85",27,0,0,2229,2385,1,3,83,6,0,0,0.0722,0
"86",27,0,0,2229,2388,1,3,1209,48,0,0,0.0397,0
"87",27,0,0,2324,2427,2,3,2866,134,0,0,0.0467,0
"88",27,0,0,2324,2428,2,3,408,12,0,0,0.0294,0
"89",27,0,0,2324,2433,2,3,2508,85,0,0,0.0338,0
"90",27,0,0,2324,2434,2,3,759,26,0,0,0.0342,0
"91",27,0,0,2324,2435,2,3,373,6,0,0,0.016,0
"92",27,0,0,2324,2436,2,3,178,6,0,0,0.0337,0
"93",27,0,0,2324,2437,2,3,61,1,0,0,0.0163,0
"94",27,0,0,2324,2439,2,3,72,5,0,0,0.0694,0
"95",27,0,0,2241,2448,1,2,3769,302,0,0,0.0801,0
"96",27,0,0,2324,2452,2,3,4560,156,0,0,0.0342,0
"97",28,0,0,2082,2033,2,7,5371,224,0,0,0.0417,0
"98",28,0,0,2082,2083,2,7,2953,64,0,0,0.0216,0
"99",28,0,0,2082,2084,2,7,2448,960,0,0,0.3921,0
"100",28,0,0,2082,2085,2,7,1189,36,0,0,0.0302,0
"101",28,0,0,2082,2086,2,7,1276,679,0,0,0.5321,0
"102",28,0,0,2082,2087,2,7,236,8,0,0,0.0338,0
"103",28,0,0,2082,2091,2,7,3963,165,0,0,0.0416,0
"104",28,0,0,2082,2093,2,7,2942,48,0,0,0.0163,0
"105",28,0,0,2082,2094,2,7,1018,28,0,0,0.0275,0
"106",28,0,0,2082,2095,2,7,835,29,0,0,0.0347,0
