"","StatTime","nuser","sess","AppAdvertisedID","CampaignID","CampaignTargetTypeID","CampaignCostTypeID","disp","clic","inst","lead","CTR","CVR"
"1",2016-02-05,0,0,2082,2033,2,7,6,0,0,0,0,0
"2",2016-02-05,0,0,2082,2083,2,7,6,0,0,0,0,0
"3",2016-02-05,0,0,2082,2084,2,7,43,17,0,0,0.3953,0
"4",2016-02-05,0,0,2082,2085,2,7,11,0,0,0,0,0
"5",2016-02-05,0,0,2082,2086,2,7,8,0,0,0,0,0
"6",2016-02-05,0,0,2082,2087,2,7,5,0,0,0,0,0
"7",2016-02-05,0,0,2082,2129,2,7,6,1,0,0,0.1666,0
"8",2016-02-05,0,0,2229,2258,1,3,3,0,0,0,0,0
"9",2016-02-05,0,0,2229,2260,2,3,28,1,0,0,0.0357,0
"10",2016-02-05,0,0,2324,2427,2,3,3,1,0,0,0.3333,0
"11",2016-02-05,0,0,2324,2428,2,3,3,0,0,0,0,0
"12",2016-02-05,0,0,2324,2437,2,3,7,2,0,0,0.2857,0
"13",2016-02-05,0,0,2324,2438,2,3,6,1,0,0,0.1666,0
"14",2016-02-05,0,0,2241,2448,1,2,24,1,0,0,0.0416,0
"15",2016-02-05,0,0,2324,2471,2,3,9,0,0,0,0,0
"16",2016-02-05,0,0,2324,2474,2,3,8,0,0,0,0,0
"17",2016-02-05,0,0,2324,2475,2,3,6,0,0,0,0,0
"18",2016-02-05,0,0,2324,2476,2,3,7,1,0,0,0.1428,0
"19",2016-02-05,0,0,2324,2478,2,3,31,2,0,0,0.0645,0
"20",2016-02-05,0,0,2324,2479,2,3,33,0,0,0,0,0
"21",2016-02-05,0,0,2324,2480,2,3,8,0,0,0,0,0
"22",2016-02-05,0,0,2324,2481,2,3,8,0,0,0,0,0
"23",2016-02-05,0,0,2324,2485,2,3,3,0,0,0,0,0
"24",2016-02-06,0,0,2082,2033,2,7,81,2,0,0,0.0246,0
"25",2016-02-06,0,0,2082,2083,2,7,61,3,0,0,0.0491,0
"26",2016-02-06,0,0,2082,2084,2,7,414,164,0,0,0.3961,0
"27",2016-02-06,0,0,2082,2085,2,7,70,0,0,0,0,0
"28",2016-02-06,0,0,2082,2086,2,7,99,7,0,0,0.0707,0
"29",2016-02-06,0,0,2082,2087,2,7,44,5,0,0,0.1136,0
"30",2016-02-06,0,0,2082,2095,2,7,3,0,0,0,0,0
"31",2016-02-06,0,0,2082,2112,2,7,3,0,0,0,0,0
"32",2016-02-06,0,0,2082,2129,2,7,74,2,0,0,0.027,0
"33",2016-02-06,0,0,2230,2249,1,3,5,2,0,0,0.4,0
"34",2016-02-06,0,0,2229,2258,1,3,42,4,0,1,0.0952,0.25
"35",2016-02-06,0,0,2229,2260,2,3,233,16,0,2,0.0686,0.125
"36",2016-02-06,0,0,2229,2385,1,3,1,0,0,0,0,0
"37",2016-02-06,0,0,2324,2427,2,3,36,2,0,0,0.0555,0
"38",2016-02-06,0,0,2324,2428,2,3,34,1,0,0,0.0294,0
"39",2016-02-06,0,0,2324,2437,2,3,42,3,0,0,0.0714,0
"40",2016-02-06,0,0,2324,2438,2,3,36,6,0,0,0.1666,0
"41",2016-02-06,0,0,2241,2448,1,2,182,17,0,0,0.0934,0
"42",2016-02-06,0,0,2324,2471,2,3,38,1,0,0,0.0263,0
"43",2016-02-06,0,0,2324,2474,2,3,42,1,0,0,0.0238,0
"44",2016-02-06,0,0,2324,2475,2,3,40,0,0,0,0,0
"45",2016-02-06,0,0,2324,2476,2,3,43,3,0,0,0.0697,0
"46",2016-02-06,0,0,2324,2478,2,3,169,13,0,0,0.0769,0
"47",2016-02-06,0,0,2324,2479,2,3,188,9,0,0,0.0478,0
"48",2016-02-06,0,0,2324,2480,2,3,37,3,0,0,0.081,0
"49",2016-02-06,0,0,2324,2481,2,3,45,4,0,1,0.0888,0.25
"50",2016-02-06,0,0,2324,2485,2,3,43,1,0,0,0.0232,0
"51",2016-02-07,0,0,2082,2033,2,7,179,2,0,0,0.0111,0
"52",2016-02-07,0,0,2082,2083,2,7,135,1,0,0,0.0074,0
"53",2016-02-07,0,0,2082,2084,2,7,742,160,0,0,0.2156,0
"54",2016-02-07,0,0,2082,2085,2,7,114,10,0,0,0.0877,0
"55",2016-02-07,0,0,2082,2086,2,7,134,4,0,0,0.0298,0
"56",2016-02-07,0,0,2082,2087,2,7,57,3,0,0,0.0526,0
"57",2016-02-07,0,0,2082,2095,2,7,5,0,0,0,0,0
"58",2016-02-07,0,0,2082,2112,2,7,5,0,0,0,0,0
"59",2016-02-07,0,0,2082,2129,2,7,203,4,0,0,0.0197,0
"60",2016-02-07,0,0,2230,2249,1,3,7,1,0,0,0.1428,0
"61",2016-02-07,0,0,2229,2258,1,3,80,7,0,0,0.0875,0
"62",2016-02-07,0,0,2229,2260,2,3,416,37,0,3,0.0889,0.081
"63",2016-02-07,0,0,2229,2385,1,3,8,0,0,0,0,0
"64",2016-02-07,0,0,2324,2427,2,3,49,5,0,0,0.102,0
"65",2016-02-07,0,0,2324,2428,2,3,78,5,0,0,0.0641,0
"66",2016-02-07,0,0,2324,2437,2,3,49,5,0,0,0.102,0
"67",2016-02-07,0,0,2324,2438,2,3,64,7,0,0,0.1093,0
"68",2016-02-07,0,0,2241,2448,1,2,347,35,9,0,0.1008,0.2571
"69",2016-02-07,0,0,2324,2471,2,3,55,3,0,0,0.0545,0
"70",2016-02-07,0,0,2324,2474,2,3,81,2,0,0,0.0246,0
"71",2016-02-07,0,0,2324,2475,2,3,67,1,0,0,0.0149,0
"72",2016-02-07,0,0,2324,2476,2,3,66,4,0,0,0.0606,0
"73",2016-02-07,0,0,2324,2478,2,3,350,28,0,0,0.08,0
